"val","flags"
882,"1;4;5;6;8;9"
884,"2;4;5;6;8;9"
886,"1;2;4;5;6;8;9"
888,"3;4;5;6;8;9"
890,"1;3;4;5;6;8;9"
892,"2;3;4;5;6;8;9"
894,"1;2;3;4;5;6;8;9"
896,"7;8;9"
898,"1;7;8;9"
900,"2;7;8;9"
902,"1;2;7;8;9"
904,"3;7;8;9"
906,"1;3;7;8;9"
908,"2;3;7;8;9"
910,"1;2;3;7;8;9"
912,"4;7;8;9"
914,"1;4;7;8;9"
916,"2;4;7;8;9"
918,"1;2;4;7;8;9"
920,"3;4;7;8;9"
922,"1;3;4;7;8;9"
924,"2;3;4;7;8;9"
926,"1;2;3;4;7;8;9"
928,"5;7;8;9"
930,"1;5;7;8;9"
932,"2;5;7;8;9"
934,"1;2;5;7;8;9"
936,"3;5;7;8;9"
938,"1;3;5;7;8;9"
940,"2;3;5;7;8;9"
942,"1;2;3;5;7;8;9"
944,"4;5;7;8;9"
946,"1;4;5;7;8;9"
948,"2;4;5;7;8;9"
950,"1;2;4;5;7;8;9"
952,"3;4;5;7;8;9"
954,"1;3;4;5;7;8;9"
956,"2;3;4;5;7;8;9"
958,"1;2;3;4;5;7;8;9"
960,"6;7;8;9"
962,"1;6;7;8;9"
964,"2;6;7;8;9"
966,"1;2;6;7;8;9"
968,"3;6;7;8;9"
970,"1;3;6;7;8;9"
972,"2;3;6;7;8;9"
974,"1;2;3;6;7;8;9"
976,"4;6;7;8;9"
978,"1;4;6;7;8;9"
980,"2;4;6;7;8;9"
982,"1;2;4;6;7;8;9"
984,"3;4;6;7;8;9"
986,"1;3;4;6;7;8;9"
988,"2;3;4;6;7;8;9"
990,"1;2;3;4;6;7;8;9"
992,"5;6;7;8;9"
994,"1;5;6;7;8;9"
996,"2;5;6;7;8;9"
998,"1;2;5;6;7;8;9"
1000,"3;5;6;7;8;9"
1002,"1;3;5;6;7;8;9"
1004,"2;3;5;6;7;8;9"
1006,"1;2;3;5;6;7;8;9"
1008,"4;5;6;7;8;9"
1010,"1;4;5;6;7;8;9"
1012,"2;4;5;6;7;8;9"
1014,"1;2;4;5;6;7;8;9"
1016,"3;4;5;6;7;8;9"
1018,"1;3;4;5;6;7;8;9"
1020,"2;3;4;5;6;7;8;9"
1022,"2;4;8;16;32;64;128;256;512"
1024,"1024"
1026,"1;10"
1028,"2;10"
1030,"1;2;10"
1032,"3;10"
1034,"1;3;10"
1036,"2;3;10"
1038,"1;2;3;10"
1040,"4;10"
1042,"1;4;10"
1044,"2;4;10"
1046,"1;2;4;10"
1048,"3;4;10"
1050,"1;3;4;10"
1052,"2;3;4;10"
1054,"1;2;3;4;10"
1056,"5;10"
1058,"1;5;10"
1060,"2;5;10"
1062,"1;2;5;10"
1064,"3;5;10"
1066,"1;3;5;10"
1068,"2;3;5;10"
1070,"1;2;3;5;10"
1072,"4;5;10"
1074,"1;4;5;10"
1076,"2;4;5;10"
1078,"1;2;4;5;10"
1080,"3;4;5;10"
1082,"1;3;4;5;10"
1084,"2;3;4;5;10"
1086,"1;2;3;4;5;10"
1088,"6;10"
1090,"1;6;10"
1092,"2;6;10"
1094,"1;2;6;10"
1096,"3;6;10"
1098,"1;3;6;10"
1100,"2;3;6;10"
1102,"1;2;3;6;10"
1104,"4;6;10"
1106,"1;4;6;10"
1108,"2;4;6;10"
1110,"1;2;4;6;10"
1112,"3;4;6;10"
1114,"1;3;4;6;10"
1116,"2;3;4;6;10"
1118,"1;2;3;4;6;10"
1120,"5;6;10"
1122,"1;5;6;10"
1124,"2;5;6;10"
1126,"1;2;5;6;10"
1128,"3;5;6;10"
1130,"1;3;5;6;10"
1132,"2;3;5;6;10"
1134,"1;2;3;5;6;10"
1136,"4;5;6;10"
1138,"1;4;5;6;10"
1140,"2;4;5;6;10"
1142,"1;2;4;5;6;10"
1144,"3;4;5;6;10"
1146,"1;3;4;5;6;10"
1148,"2;3;4;5;6;10"
1150,"1;2;3;4;5;6;10"
1152,"7;10"
1154,"1;7;10"
1156,"2;7;10"
1158,"1;2;7;10"
1160,"3;7;10"
1162,"1;3;7;10"
1164,"2;3;7;10"
1166,"1;2;3;7;10"
1168,"4;7;10"
1170,"1;4;7;10"
1172,"2;4;7;10"
1174,"1;2;4;7;10"
1176,"3;4;7;10"
1178,"1;3;4;7;10"
1180,"2;3;4;7;10"
1182,"1;2;3;4;7;10"
1184,"5;7;10"
1186,"1;5;7;10"
1188,"2;5;7;10"
1190,"1;2;5;7;10"
1192,"3;5;7;10"
1194,"1;3;5;7;10"
1196,"2;3;5;7;10"
1198,"1;2;3;5;7;10"
1200,"4;5;7;10"
1202,"1;4;5;7;10"
1204,"2;4;5;7;10"
1206,"1;2;4;5;7;10"
1208,"3;4;5;7;10"
1210,"1;3;4;5;7;10"
1212,"2;3;4;5;7;10"
1214,"1;2;3;4;5;7;10"
1216,"6;7;10"
1218,"1;6;7;10"
1220,"2;6;7;10"
1222,"1;2;6;7;10"
1224,"3;6;7;10"
1226,"1;3;6;7;10"
1228,"2;3;6;7;10"
1230,"1;2;3;6;7;10"
1232,"4;6;7;10"
1234,"1;4;6;7;10"
1236,"2;4;6;7;10"
1238,"1;2;4;6;7;10"
1240,"3;4;6;7;10"
1242,"1;3;4;6;7;10"
1244,"2;3;4;6;7;10"
1246,"1;2;3;4;6;7;10"
1248,"5;6;7;10"
1250,"1;5;6;7;10"
1252,"2;5;6;7;10"
1254,"1;2;5;6;7;10"
1256,"3;5;6;7;10"
1258,"1;3;5;6;7;10"
1260,"2;3;5;6;7;10"
1262,"1;2;3;5;6;7;10"
1264,"4;5;6;7;10"
1266,"1;4;5;6;7;10"
1268,"2;4;5;6;7;10"
1270,"1;2;4;5;6;7;10"
1272,"3;4;5;6;7;10"
1274,"1;3;4;5;6;7;10"
1276,"2;3;4;5;6;7;10"
1278,"1;2;3;4;5;6;7;10"
1280,"8;10"
1282,"1;8;10"
1284,"2;8;10"
1286,"1;2;8;10"
1288,"3;8;10"
1290,"1;3;8;10"
1292,"2;3;8;10"
1294,"1;2;3;8;10"
1296,"4;8;10"
1298,"1;4;8;10"
1300,"2;4;8;10"
1302,"1;2;4;8;10"
1304,"3;4;8;10"
1306,"1;3;4;8;10"
1308,"2;3;4;8;10"
1310,"1;2;3;4;8;10"
1312,"5;8;10"
1314,"1;5;8;10"
1316,"2;5;8;10"
1318,"1;2;5;8;10"
1320,"3;5;8;10"
1322,"1;3;5;8;10"
1324,"2;3;5;8;10"
1326,"1;2;3;5;8;10"
1328,"4;5;8;10"
1330,"1;4;5;8;10"
1332,"2;4;5;8;10"
1334,"1;2;4;5;8;10"
1336,"3;4;5;8;10"
1338,"1;3;4;5;8;10"
1340,"2;3;4;5;8;10"
1342,"1;2;3;4;5;8;10"
1344,"6;8;10"
1346,"1;6;8;10"
1348,"2;6;8;10"
1350,"1;2;6;8;10"
1352,"3;6;8;10"
1354,"1;3;6;8;10"
1356,"2;3;6;8;10"
1358,"1;2;3;6;8;10"
1360,"4;6;8;10"
1362,"1;4;6;8;10"
1364,"2;4;6;8;10"
1366,"1;2;4;6;8;10"
1368,"3;4;6;8;10"
1370,"1;3;4;6;8;10"
1372,"2;3;4;6;8;10"
1374,"1;2;3;4;6;8;10"
1376,"5;6;8;10"
1378,"1;5;6;8;10"
1380,"2;5;6;8;10"
1382,"1;2;5;6;8;10"
1384,"3;5;6;8;10"
1386,"1;3;5;6;8;10"
1388,"2;3;5;6;8;10"
1390,"1;2;3;5;6;8;10"
1392,"4;5;6;8;10"
1394,"1;4;5;6;8;10"
1396,"2;4;5;6;8;10"
1398,"1;2;4;5;6;8;10"
1400,"3;4;5;6;8;10"
1402,"1;3;4;5;6;8;10"
1404,"2;3;4;5;6;8;10"
1406,"1;2;3;4;5;6;8;10"
1408,"7;8;10"
1410,"1;7;8;10"
1412,"2;7;8;10"
1414,"1;2;7;8;10"
1416,"3;7;8;10"
1418,"1;3;7;8;10"
1420,"2;3;7;8;10"
1422,"1;2;3;7;8;10"
1424,"4;7;8;10"
1426,"1;4;7;8;10"
1428,"2;4;7;8;10"
1430,"1;2;4;7;8;10"
1432,"3;4;7;8;10"
1434,"1;3;4;7;8;10"
1436,"2;3;4;7;8;10"
1438,"1;2;3;4;7;8;10"
1440,"5;7;8;10"
1442,"1;5;7;8;10"
1444,"2;5;7;8;10"
1446,"1;2;5;7;8;10"
1448,"3;5;7;8;10"
1450,"1;3;5;7;8;10"
1452,"2;3;5;7;8;10"
1454,"1;2;3;5;7;8;10"
1456,"4;5;7;8;10"
1458,"1;4;5;7;8;10"
1460,"2;4;5;7;8;10"
1462,"1;2;4;5;7;8;10"
1464,"3;4;5;7;8;10"
1466,"1;3;4;5;7;8;10"
1468,"2;3;4;5;7;8;10"
1470,"1;2;3;4;5;7;8;10"
1472,"6;7;8;10"
1474,"1;6;7;8;10"
1476,"2;6;7;8;10"
1478,"1;2;6;7;8;10"
1480,"3;6;7;8;10"
1482,"1;3;6;7;8;10"
1484,"2;3;6;7;8;10"
1486,"1;2;3;6;7;8;10"
1488,"4;6;7;8;10"
1490,"1;4;6;7;8;10"
1492,"2;4;6;7;8;10"
1494,"1;2;4;6;7;8;10"
1496,"3;4;6;7;8;10"
1498,"1;3;4;6;7;8;10"
